lon,lat,NREdom/PREdom,MAT,MAP,T_seasonality,P_seasonality,pH,CEC,Clay,Ndep,GPP,NDVI,VegeType,,,
40.99 ,41.00 ,0.98 ,15.0 ,1722,647.2 ,20.4 ,53,25,23,6.5 ,15603 ,6126,1,,,-0.020202707
-5.70 ,41.00 ,0.96 ,12.5 ,650,628.2 ,39.7 ,75,15,21,6.7 ,5051 ,5045,1,,,-0.040821995
40.95 ,40.98 ,0.89 ,15.0 ,1722,643.1 ,19.7 ,54,28,22,6.5 ,15310 ,6126,1,,,-0.116533816
14.02 ,40.93 ,1.02 ,18.6 ,680,605.7 ,51.1 ,67,21,27,7.4 ,12578 ,2192,1,,,0.019802627
40.94 ,40.90 ,0.91 ,15.0 ,1722,747.2 ,21.2 ,52,28,20,6.5 ,11940 ,3706,1,,,-0.094310679
96.88 ,40.87 ,0.93 ,8.7 ,45,1179.6 ,74.8 ,82,8,15,1.7 ,24 ,416,1,,,-0.072570693
-6.72 ,40.32 ,0.97 ,10.8 ,1104,541.1 ,55.0 ,57,11,15,6.5 ,11941 ,6840,1,,,-0.030459207
-7.33 ,40.17 ,0.79 ,15.0 ,1800,500.3 ,57.9 ,57,9,16,6.3 ,7441 ,5631,1,,,-0.235722334
115.50 ,39.92 ,1.19 ,6.7 ,612,1065.1 ,121.7 ,74,17,15,26.6 ,5608 ,4692,1,,,0.173953307
115.50 ,39.92 ,0.97 ,6.7 ,612,1065.1 ,121.7 ,74,17,15,26.6 ,5608 ,4692,1,,,-0.030459207
115.50 ,39.92 ,1.18 ,6.7 ,612,1065.1 ,121.7 ,74,17,15,26.6 ,5608 ,4692,1,,,0.165514438
-82.60 ,39.60 ,0.92 ,10.7 ,1000,914.1 ,20.5 ,53,18,21,15.1 ,13836 ,7345,1,,,-0.083381609
-119.67 ,38.67 ,0.98 ,9.0 ,950,700.9 ,64.2 ,63,21,14,4.5 ,6590 ,5088,1,,,-0.020202707
107.17 ,37.62 ,0.84 ,8.1 ,285,1055.2 ,95.3 ,83,8,15,11.4 ,2352 ,1599,1,,,-0.174353387
-122.98 ,36.65 ,0.85 ,21.0 ,140,740.8 ,65.1 ,70,20,15,2.7 ,12842 ,500,1,,,-0.162518929
81.11 ,36.13 ,1.04 ,3.7 ,330,907.3 ,92.1 ,80,17,15,2.6 ,2202 ,2033,2,,,0.039220713
109.17 ,36.08 ,1.25 ,7.4 ,588,956.3 ,87.9 ,77,14,16,19.8 ,8155 ,4368,1,,,0.223143551
40.71 ,36.05 ,0.80 ,13.5 ,450,962.1 ,80.9 ,79,20,24,4.4 ,1103 ,2096,1,,,-0.223143551
106.48 ,36.00 ,1.05 ,6.9 ,419,948.6 ,84.9 ,80,12,18,16.9 ,4336 ,2421,2,,,0.048790164
-79.83 ,35.97 ,0.97 ,15.5 ,1140,789.3 ,12.4 ,52,12,19,11.7 ,19235 ,7052,1,,,-0.030459207
-79.83 ,35.97 ,0.89 ,15.5 ,1140,789.3 ,12.4 ,52,12,19,11.7 ,19235 ,7052,1,,,-0.116533816
104.15 ,35.95 ,0.89 ,6.7 ,382,959.7 ,92.1 ,83,9,18,12.9 ,3891 ,3698,2,,,-0.116533816
119.63 ,35.54 ,0.96 ,12.2 ,869,860.5 ,71.7 ,70,16,25,21.3 ,10602 ,3000,1,,,-0.040821995
-83.00 ,35.00 ,0.68 ,13.0 ,1810,743.7 ,9.1 ,52,12,23,11.6 ,17876 ,8060,1,,,-0.385662481
107.35 ,34.04 ,0.93 ,7.6 ,800,819.2 ,75.8 ,71,16,21,20.1 ,10180 ,7149,1,,,-0.072570693
102.00 ,33.98 ,1.15 ,1.1 ,620,768.4 ,87.8 ,74,26,16,6.5 ,4926 ,4481,2,,,0.139761942
107.42 ,33.90 ,0.86 ,9.8 ,800,798.4 ,74.8 ,59,25,19,20.1 ,10355 ,7232,1,,,-0.15082289
120.48 ,33.58 ,0.89 ,13.7 ,1030,897.8 ,77.4 ,76,13,22,23.8 ,12639 ,5969,1,,,-0.116533816
111.93 ,33.47 ,0.83 ,11.6 ,694,787.8 ,69.8 ,62,18,20,37.4 ,10219 ,6121,1,,,-0.186329578
-106.75 ,32.62 ,0.68 ,25.0 ,250,801.5 ,73.1 ,82,16,19,3.1 ,2367 ,2121,1,,,-0.385662481
-106.78 ,32.48 ,0.99 ,14.4 ,1120,781.3 ,74.0 ,82,18,17,3.5 ,2397 ,2834,1,,,-0.010050336
121.12 ,32.46 ,0.64 ,14.5 ,1056,871.5 ,57.5 ,79,13,20,26.4 ,12600 ,6043,1,,,-0.446287103
84.32 ,32.27 ,1.87 ,0.7 ,204,881.3 ,67.0 ,83,8,9,1.9 ,136 ,955,2,,,0.625938431
85.57 ,31.99 ,1.22 ,-0.6 ,261,935.1 ,61.2 ,82,9,12,2.0 ,201 ,1298,2,,,0.198850859
86.34 ,31.90 ,1.00 ,-0.8 ,292,866.4 ,66.4 ,82,9,12,1.9 ,209 ,1076,2,,,0
87.33 ,31.79 ,0.95 ,-0.9 ,328,825.9 ,82.6 ,82,8,11,1.9 ,228 ,1296,2,,,-0.051293294
88.59 ,31.71 ,0.96 ,-1.0 ,367,839.0 ,102.5 ,81,10,13,1.9 ,289 ,1509,2,,,-0.040821995
121.63 ,30.99 ,0.86 ,15.7 ,1183,862.9 ,49.6 ,73,15,24,21.4 ,9475 ,5443,1,,,-0.15082289
91.08 ,30.42 ,1.28 ,1.3 ,477,743.2 ,120.5 ,68,15,11,3.2 ,1058 ,3211,2,,,0.246860078
121.65 ,29.87 ,0.82 ,16.2 ,1375,825.9 ,42.2 ,67,16,28,19.1 ,13925 ,6396,1,,,-0.198450939
121.78 ,29.80 ,0.66 ,16.2 ,1375,815.7 ,42.6 ,58,13,25,19.1 ,14085 ,7755,1,,,-0.415515444
106.37 ,29.75 ,0.81 ,13.6 ,1143,743.7 ,70.3 ,65,17,25,32.6 ,10363 ,5177,1,,,-0.210721031
117.79 ,28.41 ,0.91 ,14.2 ,2583,835.4 ,60.7 ,56,11,24,25.4 ,8926 ,6378,1,,,-0.094310679
37.00 ,28.00 ,0.74 ,17.6 ,1002,747.9 ,73.3 ,79,18,12,1.8 ,764 ,1160,1,,,-0.301105093
114.50 ,27.29 ,0.73 ,17.7 ,1553,795.0 ,50.0 ,55,12,26,28.9 ,17153 ,6376,1,,,-0.314710745
83.60 ,27.28 ,0.93 ,22.0 ,1055,534.5 ,127.0 ,61,14,23,27.3 ,13395 ,5613,1,,,-0.072570693
109.60 ,26.85 ,0.76 ,16.5 ,1300,791.5 ,55.3 ,57,11,28,29.5 ,13330 ,6835,1,,,-0.274436846
128.25 ,26.75 ,0.50 ,22.3 ,2827,451.4 ,25.2 ,51,21,29,4.8 ,26321 ,8657,1,,,-0.693147181
115.06 ,26.73 ,0.74 ,17.9 ,1600,809.8 ,52.7 ,58,8,27,23.6 ,13927 ,7096,1,,,-0.301105093
115.06 ,26.73 ,0.79 ,17.7 ,1530,809.8 ,52.7 ,58,8,27,23.6 ,13927 ,7096,1,,,-0.235722334
